Ott Coursing Batch	A minor (8A)
Ott Harwell Dekatron	G major (9B)
Ott Unit Delta Plus	C major (8B)
Ott Hello, My Name Is...	G major (9B)
Ott The Bicycle Of The Sky	E minor (9A)
Ott Ship Is Not A Child	G major (9B)
Gorillaz El Mañana	A minor (8A)
Gorillaz Every Planet We Reach Is Dead	E minor (9A)
Gorillaz November Has Come	G major (9B)
Gorillaz Re-Hash	G major (9B)
Gorillaz 5/4	C major (8B)
Gorillaz Tomorrow Comes Today	F# major (2B)
Gorillaz New Genious (Brother)	G major (9B)
Gorillaz Clint Eastwood	A# minor (3A)
Gorillaz Man Research (Clapper)	G# minor (1A)
Gorillaz Punk	Ab major (4B)
Gorillaz Sound Check (Gravity)	G major (9B)
Boombastic Crew Gorgon Dub	D major (10B)
Mindfield Let's Get Stoned And Watch The Freaks	C major (8B)
Pink Floyd Cluster One	C major (8B)
Pink Floyd What Do You Want From Me	E major (12B)
Pink Floyd Take It Back	G major (9B)
Pink Floyd Coming Back To Life	C major (8B)
Pink Floyd Keep Talking	E minor (9A)
Pink Floyd Lost For Words	C major (8B)
Pink Floyd High Hopes	C minor (5A)
Pink Floyd One Of These Days	E major (12B)
Pink Floyd A Pillow Of Winds	A major (11B)
Pink Floyd Fearless	G major (9B)
Pink Floyd Echoes	F# minor (11A)
Pink Floyd Pigs On The Wing (Part Two)	G major (9B)
Cream Strange Brew	D major (10B)
Cream Sunshine Of Your Love	D major (10B)
Cream Dance The Night Away	A minor (8A)
Cream Blue Condition	C major (8B)
Cream Tales Of Brave Ulysses	C minor (5A)
Cream Swlabr	E minor (9A)
Cream We're Going Wrong	B minor (10A)
Cream Outside Woman Blues	A major (11B)
Elysium Monzoon (Edit)	E major (12B)
Endora Joy	C# major (3B)
Nervasystem Donovan's Brain	G major (9B)
Nüw Idol CS Gas	C major (8B)
Syb Unity Nettwerk Life Support System (Mindscape Mix)	A# minor (3A)
X Dream Our Own Happiness	Bb major (6B)
Bad Joke Flashback	C# minor (12A)
